date,open,high,low,close,volume,dividend,split
2017-01-03,123.19000244140625,125.27999877929688,122.12999725341797,122.62999725341797,1679900,0,1
2017-01-04,123.5999984741211,128.61000061035156,123.19999694824219,127.11000061035156,3158400,0,1
2017-01-05,133.0,141.41000366210938,133.0,139.17999267578125,8704900,0,1
2017-01-06,139.97999572753906,144.75,137.58999633789062,143.61000061035156,3549600,0,1
2017-01-09,143.6999969482422,145.0,141.22999572753906,144.77000427246094,2608400,0,1
2017-01-10,144.99000549316406,145.0,140.5,143.6699981689453,1948100,0,1
2017-01-11,143.0399932861328,143.22999572753906,134.02000427246094,136.66000366210938,4432300,0,1
2017-01-12,137.85000610351562,138.36000061035156,135.1300048828125,137.35000610351562,1948200,0,1
2017-01-13,137.02999877929688,139.97000122070312,135.41000366210938,136.92999267578125,1679600,0,1
2017-01-17,136.19000244140625,136.8000030517578,134.57000732421875,135.3000030517578,1963400,0,1
2017-01-18,136.25,138.47000122070312,134.97000122070312,135.8699951171875,2121800,0,1
2017-01-19,135.4499969482422,135.60000610351562,133.6699981689453,134.35000610351562,1481300,0,1
2017-01-20,135.17999267578125,135.17999267578125,131.19000244140625,131.97000122070312,1848300,0,1
2017-01-23,132.22999572753906,133.08999633789062,130.6999969482422,131.49000549316406,1545200,0,1
2017-01-24,131.58999633789062,132.39999389648438,129.25,129.8699951171875,1630500,0,1
2017-01-25,130.61000061035156,131.2899932861328,128.72999572753906,129.4600067138672,2042100,0,1
2017-01-26,130.0500030517578,132.47999572753906,128.0500030517578,128.1999969482422,1856300,0,1
2017-01-27,128.80999755859375,129.55999755859375,128.02000427246094,129.22999572753906,1267000,0,1
2017-01-30,128.2100067138672,128.86000061035156,127.18000030517578,128.0500030517578,1451600,0,1
2017-01-31,128.00999450683594,131.07000732421875,126.0999984741211,130.67999267578125,2051600,0,1
2017-02-01,128.5,132.83999633789062,128.5,132.32000732421875,2327600,0,1
2017-02-02,130.86000061035156,132.0,127.95999908447266,128.3800048828125,2820800,0,1
2017-02-03,129.11000061035156,129.11000061035156,126.73999786376953,126.9800033569336,3027600,0,1
2017-02-06,125.69000244140625,128.3000030517578,125.30999755859375,128.19000244140625,1684600,0,1
2017-02-07,128.08999633789062,128.64999389648438,126.2300033569336,127.72000122070312,1272600,0,1
2017-02-08,127.12000274658203,128.5800018310547,125.69000244140625,126.37000274658203,1758300,0,1
2017-02-09,126.20999908447266,127.66999816894531,125.79000091552734,127.08000183105469,2165500,0,1
2017-02-10,127.48999786376953,127.9800033569336,125.8499984741211,126.51000213623047,1668100,0,1
2017-02-13,127.22000122070312,128.14999389648438,126.04000091552734,127.7699966430664,3020500,0,1
2017-02-14,128.22000122070312,130.47000122070312,127.75,129.5,3321800,0,1
2017-02-15,129.05999755859375,132.3800048828125,129.0500030517578,132.0,2610600,0,1
2017-02-16,137.7100067138672,138.2100067138672,130.17999267578125,130.38999938964844,5186200,0,1
2017-02-17,130.0,130.22999572753906,125.19999694824219,128.82000732421875,3047500,0,1
2017-02-21,129.7100067138672,132.77999877929688,129.4199981689453,129.88999938964844,2715500,0,1
2017-02-22,129.3800048828125,131.99000549316406,129.36000061035156,130.8300018310547,1242400,0,1
2017-02-23,130.50999450683594,131.55999755859375,128.92999267578125,130.44000244140625,1827100,0,1
2017-02-24,131.3699951171875,132.4600067138672,130.0,131.5399932861328,1657300,0,1
2017-02-27,131.1999969482422,132.52999877929688,130.66000366210938,132.1999969482422,1311500,0,1
2017-02-28,131.7100067138672,132.1699981689453,130.61000061035156,131.25,1756200,0,1
2017-03-01,132.5,135.11000061035156,131.42999267578125,134.2100067138672,1897800,0,1
2017-03-02,133.8000030517578,134.41000366210938,132.52999877929688,132.94000244140625,1244500,0,1
2017-03-03,132.39999389648438,135.3800048828125,132.24000549316406,134.99000549316406,1692800,0,1
2017-03-06,134.86000061035156,135.86000061035156,133.07000732421875,133.3300018310547,1209100,0,1
2017-03-07,132.3699951171875,133.19000244140625,128.89999389648438,129.17999267578125,1318600,0,1
2017-03-08,129.60000610351562,131.33999633789062,126.16999816894531,127.41000366210938,3155700,0,1
2017-03-09,127.41000366210938,127.80999755859375,124.16000366210938,126.55000305175781,2182300,0,1
2017-03-10,127.52999877929688,128.1999969482422,125.44000244140625,127.30999755859375,1710600,0,1
2017-03-13,126.94000244140625,126.94000244140625,124.12999725341797,124.73999786376953,1459500,0,1
2017-03-14,124.66999816894531,124.8499984741211,121.5,121.5999984741211,1757500,0,1
2017-03-15,121.73999786376953,122.7300033569336,121.0199966430664,122.12000274658203,1909100,0,1
2017-03-16,122.13999938964844,124.05000305175781,121.76000213623047,122.41000366210938,1476900,0,1
2017-03-17,123.06999969482422,123.63999938964844,121.33999633789062,122.08000183105469,2441100,0,1
2017-03-20,122.18000030517578,122.29000091552734,119.61000061035156,120.19999694824219,1392900,0,1
2017-03-21,120.88999938964844,120.9800033569336,116.95999908447266,118.69999694824219,2073300,0,1
2017-03-22,118.72000122070312,120.22000122070312,118.08999633789062,120.08000183105469,1394600,0,1
2017-03-23,119.79000091552734,121.06999969482422,119.55000305175781,120.26000213623047,1409900,0,1
2017-03-24,120.94000244140625,121.43000030517578,118.7300033569336,119.26000213623047,1292400,0,1
2017-03-27,117.66999816894531,119.05000305175781,115.58000183105469,118.83000183105469,2400500,0,1
2017-03-28,118.63999938964844,119.5,118.04000091552734,118.52999877929688,1115300,0,1
2017-03-29,118.52999877929688,121.44000244140625,118.02999877929688,120.72000122070312,1844200,0,1
2017-03-30,120.69999694824219,122.93000030517578,120.0,122.08000183105469,1837400,0,1
2017-03-31,121.48999786376953,121.87000274658203,119.22000122070312,121.23999786376953,2033600,0,1
2017-04-03,121.5199966430664,122.29000091552734,119.1500015258789,119.29000091552734,1498000,0,1
2017-04-04,119.3499984741211,120.33000183105469,117.86000061035156,118.30000305175781,1614600,0,1
2017-04-05,118.16999816894531,119.87999725341797,115.94000244140625,116.20999908447266,1942200,0,1
2017-04-06,116.30000305175781,116.69999694824219,114.16000366210938,115.48999786376953,3365100,0,1
2017-04-07,115.77999877929688,116.26000213623047,113.41999816894531,115.62000274658203,2707000,0,1
2017-04-10,115.91999816894531,118.08999633789062,115.01000213623047,117.41000366210938,1239100,0,1
2017-04-11,117.05000305175781,118.23999786376953,115.66000366210938,116.88999938964844,771900,0,1
2017-04-12,117.08999633789062,117.7300033569336,114.31999969482422,114.56999969482422,1309000,0,1
2017-04-13,114.76000213623047,118.63999938964844,114.7300033569336,118.3499984741211,1702800,0,1
2017-04-17,118.3499984741211,119.56999969482422,117.23999786376953,118.83000183105469,1525500,0,1
2017-04-18,118.06999969482422,118.94000244140625,117.3499984741211,118.22000122070312,1007800,0,1
2017-04-19,118.75,121.0,118.0199966430664,120.48999786376953,2166100,0,1
2017-04-20,121.0,121.0,117.98999786376953,118.72000122070312,1409600,0,1
2017-04-21,118.63999938964844,119.30000305175781,115.56999969482422,116.81999969482422,2043500,0,1
