date,open,high,low,close,volume,dividend,split
2017-01-03,106.7300033569336,106.87999725341797,105.33999633789062,106.1500015258789,2240900,0,1
2017-01-04,106.41000366210938,106.94000244140625,106.19999694824219,106.33999633789062,1720700,0,1
2017-01-05,106.0,106.43000030517578,105.38999938964844,105.97000122070312,1919900,0,1
2017-01-06,105.93000030517578,106.30000305175781,105.18000030517578,105.2699966430664,1995300,0,1
2017-01-09,105.5,105.81999969482422,104.94999694824219,105.0199966430664,2278900,0,1
2017-01-10,105.23999786376953,105.25,103.16999816894531,103.5,2267500,0,1
2017-01-11,103.4800033569336,104.16999816894531,102.51000213623047,103.83000183105469,2631700,0,1
2017-01-12,103.69000244140625,104.26000213623047,103.12000274658203,104.19999694824219,1568800,0,1
2017-01-13,104.22000122070312,104.76000213623047,102.87000274658203,103.44999694824219,2058900,0,1
2017-01-17,103.58000183105469,105.19000244140625,103.41000366210938,105.16999816894531,2055500,0,1
2017-01-18,105.26000213623047,106.41999816894531,105.04000091552734,105.66999816894531,2078100,0,1
2017-01-19,105.66999816894531,105.66999816894531,103.86000061035156,104.44000244140625,1747600,0,1
2017-01-20,104.83999633789062,105.41999816894531,103.97000122070312,104.19999694824219,2598800,0,1
2017-01-23,104.5,105.19000244140625,104.26000213623047,104.77999877929688,2223000,0,1
2017-01-24,104.97000122070312,104.97000122070312,104.02999877929688,104.56999969482422,1823700,0,1
2017-01-25,104.81999969482422,104.88999938964844,103.69000244140625,103.91999816894531,2053900,0,1
2017-01-26,104.13999938964844,105.13999938964844,103.75,104.30000305175781,1272600,0,1
2017-01-27,104.41000366210938,104.77999877929688,103.66000366210938,103.81999969482422,1207100,0,1
2017-01-30,104.05000305175781,104.05000305175781,102.7300033569336,103.01000213623047,1509900,0,1
2017-01-31,103.54000091552734,104.0,103.16000366210938,103.5,1376300,0,1
2017-02-01,103.5999984741211,103.83999633789062,103.0199966430664,103.27999877929688,1906700,0,1
2017-02-02,103.27999877929688,104.31999969482422,103.06999969482422,104.11000061035156,1322200,0,1
2017-02-03,104.83000183105469,105.6500015258789,104.76000213623047,105.25,2988100,0,1
2017-02-06,105.05999755859375,105.4000015258789,103.06999969482422,103.63999938964844,2141200,0,1
2017-02-07,103.66000366210938,103.93000030517578,102.91000366210938,103.47000122070312,1344100,0,1
2017-02-08,103.56999969482422,104.43000030517578,103.36000061035156,104.30000305175781,1301900,0,1
2017-02-09,104.19999694824219,106.0,103.47000122070312,105.77999877929688,2525100,0,1
2017-02-10,105.5,105.76000213623047,104.7300033569336,105.48999786376953,1228100,0,1
2017-02-13,105.69000244140625,107.68000030517578,105.5999984741211,107.55000305175781,1975500,0,1
2017-02-14,107.63999938964844,107.63999938964844,105.81999969482422,106.77999877929688,1580600,0,1
2017-02-15,107.08999633789062,107.37000274658203,106.01000213623047,107.11000061035156,1362500,0,1
2017-02-16,106.94999694824219,107.97000122070312,106.8499984741211,107.70999908447266,1321800,0,1
2017-02-17,107.88999938964844,109.80000305175781,107.66000366210938,108.11000061035156,4991400,0,1
2017-02-21,108.11000061035156,111.22000122070312,108.0199966430664,111.18000030517578,3012600,0,1
2017-02-22,111.36000061035156,111.83000183105469,110.5999984741211,111.0199966430664,2207400,0,1
2017-02-23,111.16999816894531,112.25,111.13999938964844,112.19999694824219,2233300,0,1
2017-02-24,112.06999969482422,113.20999908447266,111.7699966430664,112.88999938964844,2589400,0,1
2017-02-27,114.01000213623047,114.86000061035156,112.79000091552734,113.33999633789062,2895100,0,1
2017-02-28,113.13999938964844,115.69000244140625,113.08999633789062,114.79000091552734,3001200,0,1
2017-03-01,114.77999877929688,114.87000274658203,113.08000183105469,113.83999633789062,2799100,0,1
2017-03-02,113.80999755859375,115.23999786376953,112.95999908447266,114.80999755859375,2592100,0,1
2017-03-03,114.58000183105469,115.76000213623047,114.3499984741211,115.66999816894531,1395100,0,1
2017-03-06,115.37999725341797,115.52999877929688,114.27999877929688,114.70999908447266,1809800,0,1
2017-03-07,114.33000183105469,115.23999786376953,113.93000030517578,114.69999694824219,2404400,0,1
2017-03-08,114.05000305175781,114.69999694824219,113.16999816894531,113.23999786376953,2010200,0,1
2017-03-09,113.41999816894531,113.69999694824219,112.77999877929688,113.0,2015400,0,1
2017-03-10,113.0,114.19999694824219,113.0,113.58000183105469,1509500,0,1
2017-03-13,113.69999694824219,114.5199966430664,113.20999908447266,114.26000213623047,1597200,0,1
2017-03-14,113.9000015258789,114.7300033569336,113.66000366210938,114.0199966430664,1416100,0,1
2017-03-15,114.12999725341797,116.05000305175781,113.94999694824219,115.27999877929688,2112400,0,1
2017-03-16,115.72000122070312,115.98999786376953,114.7699966430664,115.08999633789062,1814200,0,1
2017-03-17,115.36000061035156,116.27999877929688,115.06999969482422,116.01000213623047,3237500,0,1
2017-03-20,116.02999877929688,116.86000061035156,115.73999786376953,115.9800033569336,2033400,0,1
2017-03-21,116.55000305175781,118.54000091552734,116.31999969482422,116.73999786376953,2854000,0,1
2017-03-22,117.52999877929688,118.5999984741211,116.79000091552734,118.30999755859375,2851000,0,1
2017-03-23,118.43000030517578,119.5,118.06999969482422,118.94999694824219,2624400,0,1
2017-03-24,119.19000244140625,119.76000213623047,118.87999725341797,119.31999969482422,2475800,0,1
2017-03-27,118.72000122070312,120.25,118.55000305175781,120.01000213623047,3023500,0,1
2017-03-28,120.01000213623047,120.72000122070312,119.5199966430664,120.38999938964844,2259200,0,1
2017-03-29,120.19000244140625,121.33000183105469,120.16000366210938,121.04000091552734,2266000,0,1
2017-03-30,120.77999877929688,121.08999633789062,120.16999816894531,120.91000366210938,1795300,0,1
2017-03-31,120.63999938964844,121.8499984741211,120.47000122070312,121.54000091552734,2713700,0,1
2017-04-03,121.43000030517578,121.9000015258789,120.44999694824219,121.1500015258789,2071800,0,1
2017-04-04,120.91000366210938,121.58999633789062,120.51000213623047,120.73999786376953,1710200,0,1
2017-04-05,120.87000274658203,121.73999786376953,120.56999969482422,120.63999938964844,2020800,0,1
